Sno,Starting Leaf,Ending Leaf
1,10301,10400
2,10401,10500
3,10501,10600
4,10601,10700
5,10701,10800
6,10801,10900
7,10901,11000
8,11001,11100
9,11101,11200
10,11201,11300
11,11301,11400
12,11401,11500
13,11501,11600
14,11601,11700
15,11701,11800
16,11801,11900
17,11901,12000
18,12001,12100
19,12101,12200
20,12201,12300
21,12301,12400
22,12401,12500
23,12501,12600
24,12601,12700
25,12701,12800
26,12801,12900
27,12901,13000
28,13001,13100
29,13101,13200
30,13201,13300
31,13301,13400
32,13401,13500
33,13501,13600
34,13601,13700
35,13701,13800
36,13801,13900
37,13901,14000
38,14001,14100
39,14101,14200
40,14201,14300
41,14301,14400
42,14401,14500
43,14501,14600
44,14601,14700
45,14701,14800
46,14801,14900
47,14901,15000
48,15001,15100
49,15101,15200
50,15201,15300
51,15301,15400
52,15401,15500
53,15501,15600
54,15601,15700
55,15701,15800
56,15801,15900
57,15901,16000
58,16001,16100
59,16101,16200
60,16201,16300
61,16301,16400
62,16401,16500
63,16501,16600
64,16601,16700
65,16701,16800
66,16801,16900
67,16901,17000
68,17001,17100
69,17101,17200
70,17201,17300
71,17301,17400
72,17401,17500
73,17501,17600
74,17601,17700
75,17701,17800
76,17801,17900
77,17901,18000
78,18001,18100
79,18101,18200
80,18201,18300
81,18301,18400
82,18401,18500
83,18501,18600
84,18601,18700
85,18701,18800
86,18801,18900
87,18901,19000
88,19001,19100
89,19101,19200
90,19201,19300
91,19301,19400
92,19401,19500
93,19501,19600
94,19601,19700
95,19701,19800
96,19801,19900
97,19901,20000
98,20001,20100
99,20101,20200
100,20201,20300
101,20301,20400
102,20401,20500
103,20501,20600
104,20601,20700
105,20701,20800
106,20801,20900
107,20901,21000
108,21001,21100
109,21101,21200
110,21201,21300
111,21301,21400
112,21401,21500
113,21501,21600
114,21601,21700
115,21701,21800
116,21801,21900
117,21901,22000
118,22001,22100
119,22101,22200
120,22201,22300
121,22301,22400
122,22401,22500
123,22501,22600
124,22601,22700
125,22701,22800
126,22801,22900
127,22901,23000
128,23001,23100
129,23101,23200
130,23201,23300
131,23301,23400
132,23401,23500
133,23501,23600
134,23601,23700
135,23701,23800
136,23801,23900
137,23901,24000
138,24001,24100
139,24101,24200
140,24201,24300
141,24301,24400
142,24401,24500
143,24501,24600
144,24601,24700
145,24701,24800
146,24801,24900
147,24901,25000
148,25001,25100
149,25101,25200
150,25201,25300
151,25301,25400
152,25401,25500
153,25501,25600
154,25601,25700
155,25701,25800
156,25801,25900
157,25901,26000
158,26001,26100
159,26101,26200
160,26201,26300
161,26301,26400
162,26401,26500
163,26501,26600
164,26601,26700
165,26701,26800
166,26801,26900
167,26901,27000
168,27001,27100
169,27101,27200
170,27201,27300
171,27301,27400
172,27401,27500
173,27501,27600
174,27601,27700
175,27701,27800
176,27801,27900
177,27901,28000
178,28001,28100
179,28101,28200
180,28201,28300
181,28301,28400
182,28401,28500
183,28501,28600
184,28601,28700
185,28701,28800
186,28801,28900
187,28901,29000
188,29001,29100
189,29101,29200
190,29201,29300
191,29301,29400
192,29401,29500
193,29501,29600
194,29601,29700
195,29701,29800
196,29801,29900
197,29901,30000
